freq,unit,accident,victim,pers_cat,geo\TIME_PERIOD	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,NR,TOTAL,KIL,UA_PER,EU27_2020	: 	: 	: 	: 	750 	759 	622 	659 	692 	563 	585 	579 	549 	491 	411 	405 	516 	491 
A,NR,TOTAL,KIL,UA_PER,FI	17 	7 	13 	2 	4 	2 	3 	4 	4 	1 	2 	1 	1 	1 	2 	2 	2 	1 
A,NR,TOTAL,KIL,UA_PER,FR	44 	20 	40 	31 	37 	50 	32 	45 	36 	20 	46 	46 	37 	29 	23 	22 	42 	32 
A,NR,TOTAL,KIL,UA_PER,HR	: 	: 	: 	: 	19 	10 	0 	6 	12 	6 	9 	13 	10 	7 	6 	3 	4 	4 
A,NR,TOTAL,KIL,UA_PER,HU	37 	35 	62 	63 	47 	53 	41 	75 	85 	79 	74 	79 	68 	57 	12 	27 	44 	35 
A,NR,TOTAL,KIL,UA_PER,IE	0 	1 	2 	1 	1 	1 	0 	1 	1 	0 	0 	2 	0 	2 	1 	1 	1 	4 
A,NR,TOTAL,KIL,UA_PER,IT	42 	44 	49 	35 	46 	48 	53 	45 	42 	36 	54 	43 	63 	36 	34 	42 	55 	64 
A,NR,TOTAL,KIL,UA_PER,LT	23 	30 	32 	24 	26 	20 	15 	15 	7 	6 	12 	14 	7 	4 	5 	8 	4 	9 
A,NR,TOTAL,KIL,UA_PER,LU	: 	: 	: 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 
A,NR,TOTAL,KIL,UA_PER,LV	26 	21 	15 	8 	13 	8 	10 	10 	7 	2 	9 	6 	7 	6 	6 	5 	9 	3 
A,NR,TOTAL,KIL,UA_PER,NL	2 	1 	1 	0 	0 	3 	1 	2 	1 	3 	1 	5 	1 	1 	2 	2 	2 	2 
A,NR,TOTAL,KIL,UA_PER,NO	1 	1 	1 	1 	3 	5 	0 	2 	0 	1 	3 	1 	3 	1 	0 	0 	6 	0 
A,NR,TOTAL,KIL,UA_PER,PL	263 	260 	260 	283 	216 	244 	180 	165 	163 	166 	117 	127 	140 	97 	96 	99 	121 	114 
A,NR,TOTAL,KIL,UA_PER,PT	34 	32 	23 	14 	9 	10 	16 	14 	15 	12 	15 	13 	12 	18 	16 	9 	9 	9 
A,NR,TOTAL,KIL,UA_PER,RO	100 	131 	151 	103 	96 	76 	81 	73 	74 	61 	62 	41 	43 	61 	53 	54 	69 	57 
A,NR,TOTAL,KIL,UA_PER,SE	10 	14 	9 	13 	31 	15 	5 	10 	14 	9 	6 	10 	5 	8 	1 	4 	5 	5 
A,NR,TOTAL,KIL,UA_PER,SI	12 	8 	9 	3 	7 	3 	0 	1 	0 	0 	0 	0 	2 	0 	0 	0 	0 	0 
A,NR,TOTAL,KIL,UA_PER,SK	81 	40 	41 	44 	44 	37 	45 	47 	67 	36 	19 	22 	14 	21 	17 	15 	14 	23 
A,NR,TOTAL,KIL,UA_PER,UK	24 	33 	41 	36 	16 	45 	33 	22 	12 	17 	20 	28 	21 	11 	8 	: 	: 	: 
A,NR,TOTAL,KIL,UNK,ME	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 
A,NR,TOTAL,KIL,UNK,MK	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 
A,NR,TOTAL,KIL,UNK,TR	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	0 	0 	: 	: 
